Month,Group,Student,StudentStatus,SourceCode
September,MW,1MW,Returner,Bronx River
September,MW,1MW,Returner,Animals
September,MW,2MW,New,Bronx River
September,MW,2MW,New,Bronx River
September,MW,2MW,New,Places
September,MW,2MW,New,Places
September,MW,2MW,New,Places
September,MW,2MW,New,Bronx River
September,MW,2MW,New,RTB
September,MW,2MW,New,RTB
September,MW,2MW,New,Bronx River
September,MW,2MW,New,Places
September,MW,2MW,New,Places
September,MW,2MW,New,Places
September,MW,2MW,New,Bronx River
September,MW,2MW,New,Places
September,MW,2MW,New,Places
September,MW,3MW,Returner,Bronx River
September,MW,3MW,Returner,Activities
September,MW,3MW,Returner,Activities
September,MW,3MW,Returner,Activities
September,MW,3MW,Returner,Animals
September,MW,3MW,Returner,Bronx River
September,MW,3MW,Returner,Bronx River
September,MW,3MW,Returner,Fun
September,MW,3MW,Returner,Bronx River
September,MW,3MW,Returner,Activities
September,MW,3MW,Returner,Bronx River
September,MW,3MW,Returner,Boats
September,MW,3MW,Returner,Boats
September,MW,3MW,Returner,Boats
September,MW,4MW,New,Bronx River
September,MW,4MW,New,Animals
September,MW,4MW,New,Animals
September,MW,4MW,New,Animals
September,MW,4MW,New,Animals
September,MW,4MW,New,Bronx River
September,MW,4MW,New,People
September,MW,4MW,New,Organizations
September,MW,4MW,New,People
September,MW,4MW,New,Bronx River
September,MW,4MW,New,Water
September,MW,4MW,New,Water
September,MW,5MW,New,Bronx River
September,MW,5MW,New,River characteristics
September,MW,5MW,New,Stream of consciousness
September,MW,5MW,New,Stream of consciousness
September,MW,5MW,New,Bronx River
September,MW,5MW,New,Death
September,MW,5MW,New,Dangerous
September,MW,5MW,New,Want to leave
September,MW,5MW,New,How to leave
September,MW,5MW,New,Bronx River
September,MW,5MW,New,Dirty
September,MW,5MW,New,Stream of consciousness
September,MW,5MW,New,Stream of consciousness
September,MW,5MW,New,Bronx River
September,MW,5MW,New,Community
September,MW,5MW,New,Community
September,MW,5MW,New,Activites
September,MW,5MW,New,Bronx River
September,MW,5MW,New,Animals
September,MW,5MW,New,Activities
September,MW,5MW,New,Stream of consciousness
September,MW,5MW,New,Stream of consciousness
September,MW,5MW,New,Food
September,MW,5MW,New,Hunger
September,MW,5MW,New,Money
September,MW,5MW,New,Money
September,MW,5MW,New,Bronx River
September,MW,5MW,New,RTB
September,MW,5MW,New,RTB
September,MW,5MW,New,School
September,MW,5MW,New,Emotions
September,MW,5MW,New,Stream of consciousness
September,MW,5MW,New,RTB
September,MW,5MW,New,RTB
September,MW,5MW,New,Boats
September,MW,5MW,New,Physical experience
September,MW,5MW,New,Physical experience
September,MW,5MW,New,Bronx River
September,MW,5MW,New,Places
September,MW,5MW,New,Fun
September,MW,5MW,New,Bronx River
September,MW,5MW,New,Places
September,MW,5MW,New,Places
September,MW,5MW,New,Places
September,MW,5MW,New,Places
September,MW,5MW,New,Places
September,MW,5MW,New,Places
September,MW,5MW,New,Places
September,MW,5MW,New,Emotions
September,MW,5MW,New,RTB
September,MW,5MW,New,Animals
September,MW,5MW,New,Fun
December,MW,4MW,New,Bronx River
December,MW,4MW,New,Places
December,MW,4MW,New,Places
December,MW,4MW,New,Places
December,MW,4MW,New,Places
December,MW,4MW,New,Places
December,MW,4MW,New,Places
December,MW,4MW,New,Places
December,MW,4MW,New,Places
December,MW,4MW,New,Places
December,MW,4MW,New,Places
December,MW,4MW,New,Places
December,MW,4MW,New,Places
December,MW,6MW,Returner,Places
December,MW,6MW,Returner,Places
December,MW,6MW,Returner,Places
December,MW,6MW,Returner,Places
December,MW,6MW,Returner,Fun
December,MW,6MW,Returner,Bronx River
December,MW,6MW,Returner,Water
December,MW,6MW,Returner,Water
December,MW,6MW,Returner,Boats
December,MW,6MW,Returner,Animals
December,MW,6MW,Returner,RTB
December,MW,7MW,New,Bronx River
December,MW,7MW,New,Pollution
December,MW,7MW,New,Pollution
December,MW,7MW,New,Bronx River
December,MW,1MW,Returner,Bronx River
December,MW,1MW,Returner,Environmental Action
December,MW,1MW,Returner,Environmental Action
December,MW,1MW,Returner,Environmental Action
December,MW,1MW,Returner,Bronx River
December,MW,1MW,Returner,Animals
December,MW,1MW,Returner,Animals
December,MW,1MW,Returner,Animals
December,MW,1MW,Returner,Bronx River
December,MW,1MW,Returner,Activities
December,MW,1MW,Returner,Activities
December,MW,1MW,Returner,Activities
December,MW,1MW,Returner,Activites
December,MW,1MW,Returner,Animals
December,MW,1MW,Returner,bronx River
December,MW,1MW,Returner,Activities
December,MW,1MW,Returner,Activities 
December,MW,1MW,Returner,Activities
December,MW,1MW,Returner,Activities
December,MW,1MW,Returner,Activities
December,MW,1MW,Returner,Bronx River
December,MW,1MW,Returner,Activities
December,MW,1MW,Returner,Activities
December,MW,1MW,Returner,Activities
December,MW,3MW,Returner,Bronx River
December,MW,3MW,Returner,Bronx River
December,MW,3MW,Returner,Activities
December,MW,3MW,Returner,Bronx River
December,MW,3MW,Returner,Bronx River
December,MW,3MW,Returner,Activities
December,MW,3MW,Returner,Bronx River
December,MW,3MW,Returner,Bronx River
December,MW,3MW,Returner,Bronx River
December,MW,3MW,Returner,Environmental Action
December,MW,3MW,Returner,Bronx River
December,MW,3MW,Returner,
December,MW,3MW,Returner,Friends
December,MW,3MW,Returner,Bronx River
December,MW,3MW,Returner,Family
December,MW,3MW,Returner,Bronx River
December,MW,3MW,Returner,Emotions
December,MW,3MW,Returner,Bronx River
December,MW,8MW,Returner,Bronx River
December,MW,8MW,Returner,Boats
December,MW,8MW,Returner,Bronx River
December,MW,8MW,Returner,Bronx River
December,MW,8MW,Returner,Bronx River
December,MW,8MW,Returner,Bronx River
December,MW,8MW,Returner,Bronx River
September,TTh,9TTh,Returner,Bronx River
September,TTh,9TTh,Returner,Bronx River
September,TTh,9TTh,Returner,Bronx River
September,TTh,9TTh,Returner,Bronx River
September,TTh,9TTh,Returner,Bronx River
September,TTh,9TTh,Returner,Family
September,TTh,9TTh,Returner,Family
September,TTh,9TTh,Returner,Family
September,TTh,9TTh,Returner,Family
September,TTh,9TTh,Returner,Family
September,TTh,9TTh,Returner,Family
September,TTh,9TTh,Returner,Family
September,TTh,9TTh,Returner,Family
September,TTh,9TTh,Returner,Family
September,TTh,9TTh,Returner,Family
September,TTh,9TTh,Returner,Family
September,TTh,9TTh,Returner,Family
September,TTh,9TTh,Returner,Activities
September,TTh,9TTh,Returner,Activities
September,TTh,9TTh,Returner,Activities
September,TTh,9TTh,Returner,Animals
September,TTh,9TTh,Returner,Animals
September,TTh,9TTh,Returner,Animals
September,TTh,9TTh,Returner,Animals
September,TTh,9TTh,Returner,Animals
September,TTh,9TTh,Returner,Animals
September,TTh,9TTh,Returner,Boats
September,TTh,9TTh,Returner,Boats
September,TTh,9TTh,Returner,Boats
September,TTh,9TTh,Returner,Boats
September,TTh,9TTh,Returner,Boats
September,TTh,9TTh,Returner,Boats
September,TTh,9TTh,Returner,Boats
September,TTh,9TTh,Returner,River characteristics
September,TTh,9TTh,Returner,Water quality
September,TTh,9TTh,Returner,Water quality
September,TTh,9TTh,Returner,Water quality
September,TTh,9TTh,Returner,Water quality
September,TTh,9TTh,Returner,Water quality
September,TTh,9TTh,Returner,Water quality
September,TTh,10TTh,Returner,Bronx River
September,TTh,10TTh,Returner,Bronx River
September,TTh,10TTh,Returner,Bronx River
September,TTh,10TTh,Returner,Bronx River
September,TTh,10TTh,Returner,Animals
September,TTh,10TTh,Returner,Animals
September,TTh,10TTh,Returner,Animals
September,TTh,10TTh,Returner,Animals
September,TTh,10TTh,Returner,Pollution
September,TTh,10TTh,Returner,Pollution
September,TTh,10TTh,Returner,Pollution
September,TTh,10TTh,Returner,Pollution
September,TTh,10TTh,Returner,Pollution
September,TTh,10TTh,Returner,Pollution
September,TTh,10TTh,Returner,Plants
September,TTh,10TTh,Returner,Plants
September,TTh,10TTh,Returner,Water
September,TTh,10TTh,Returner,Water
September,TTh,11Tth,New,Bronx River
September,TTh,11Tth,New,Bronx River
September,TTh,11Tth,New,Bronx River
September,TTh,11Tth,New,Bronx River
September,TTh,11Tth,New,Bronx River
September,TTh,11Tth,New,Bronx River
September,TTh,11Tth,New,Bronx River
September,TTh,11Tth,New,Animals
September,TTh,11Tth,New,Animals
September,TTh,11Tth,New,Bronx River
September,TTh,12TTh,New,Bronx River
September,TTh,12TTh,New,Bronx River
September,TTh,12TTh,New,Bronx River
September,TTh,12TTh,New,Bronx River
September,TTh,12TTh,New,Animals
September,TTh,12TTh,New,Places
September,TTh,12TTh,New,Water
September,TTh,12TTh,New,Water
September,TTh,12TTh,New,Water
September,TTh,12TTh,New,Water
September,TTh,12TTh,New,Animals
September,TTh,12TTh,New,Boats
September,TTh,12TTh,New,Plants
September,TTh,12TTh,New,Plants
September,TTh,12TTh,New,Plants
September,TTh,12TTh,New,River characteristics
September,TTh,12TTh,New,River characteristics
September,TTh,13TTh,Returner,Bronx River
September,TTh,13TTh,Returner,Bronx River
September,TTh,13TTh,Returner,Bronx River
September,TTh,13TTh,Returner,Bronx River
September,TTh,13TTh,Returner,Animals
September,TTh,13TTh,Returner,Animals
September,TTh,13TTh,Returner,Animals
September,TTh,13TTh,Returner,Bronx River
September,TTh,13TTh,Returner,Bronx River
September,TTh,14TTh,Returner,Bronx River
September,TTh,14TTh,Returner,Bronx River
September,TTh,14TTh,Returner,Bronx River
September,TTh,14TTh,Returner,Bronx River
September,TTh,14TTh,Returner,Bronx River
September,TTh,14TTh,Returner,Animals
September,TTh,14TTh,Returner,Animals
September,TTh,14TTh,Returner,Animals
September,TTh,15TTh,Returner,Mud
September,TTh,15TTh,Returner,Bronx River
September,TTh,15TTh,Returner,Bronx River
September,TTh,15TTh,Returner,Bronx River
September,TTh,15TTh,Returner,River characteristics
September,TTh,16TTh,Returner,Bronx River
September,TTh,16TTh,Returner,Bronx River
September,TTh,16TTh,Returner,Bronx River
September,TTh,16TTh,Returner,Bronx River
September,TTh,16TTh,Returner,Bronx River
September,TTh,16TTh,Returner,Bronx River
December,TTh,13TTh,Returner,Bronx River
December,TTh,13TTh,Returner,Bronx River
December,TTh,13TTh,Returner,Bronx River
December,TTh,14TTh,Returner,Bronx River
December,TTh,14TTh,Returner,Bronx River
December,TTh,14TTh,Returner,Bronx River
December,TTh,14TTh,Returner,Bronx River
December,TTh,14TTh,Returner,Bronx River
December,TTh,14TTh,Returner,Bronx River
December,TTh,14TTh,Returner,Bronx River
December,TTh,14TTh,Returner,Plants
December,TTh,14TTh,Returner,Plants
December,TTh,16TTh,Returner,Bronx River
December,TTh,16TTh,Returner,Bronx River
December,TTh,16TTh,Returner,Bronx River
December,TTh,16TTh,Returner,Bronx River
December,TTh,16TTh,Returner,Bronx River
December,TTh,16TTh,Returner,Bronx River
December,TTh,16TTh,Returner,Bronx River
December,TTh,16TTh,Returner,Bronx River
December,TTh,10TTh,Returner,Bronx River
December,TTh,10TTh,Returner,Bronx River
December,TTh,10TTh,Returner,Bronx River
December,TTh,10TTh,Returner,Bronx River
December,TTh,10TTh,Returner,Bronx River
December,TTh,10TTh,Returner,Bronx River
December,TTh,10TTh,Returner,Bronx River
December,TTh,10TTh,Returner,Pollution
December,TTh,10TTh,Returner,Pollution
December,TTh,10TTh,Returner,Pollution
December,TTh,10TTh,Returner,Animals
December,TTh,10TTh,Returner,RTB
December,TTh,10TTh,Returner,RTB
December,TTh,10TTh,Returner,RTB
December,TTh,10TTh,Returner,RTB
December,TTh,10TTh,Returner,RTB
December,TTh,10TTh,Returner,RTB
December,TTh,10TTh,Returner,RTB
December,TTh,10TTh,Returner,Plants
December,TTh,10TTh,Returner,Plants
December,TTh,10TTh,Returner,Water
December,TTh,10TTh,Returner,Water
December,TTh,10TTh,Returner,Water
December,TTh,10TTh,Returner,Animals
December,TTh,10TTh,Returner,Animals
December,TTh,10TTh,Returner,Animals
December,MW,2MW,New,Animals
December,MW,2MW,New,Plants
December,MW,2MW,New,Animals
December,MW,2MW,New,Activities
December,MW,2MW,New,Activities
December,MW,2MW,New,Water
December,MW,2MW,New,Animals
December,MW,2MW,New,Animals
December,MW,2MW,New,Animals
December,MW,2MW,New,Plants
December,MW,2MW,New,Plants
December,MW,2MW,New,Water
December,MW,2MW,New,Plants
December,MW,2MW,New,Stream of consciousness
December,MW,2MW,New,Water quality
December,MW,2MW,New,Water quality
December,MW,2MW,New,Water
December,MW,2MW,New,Activities
December,MW,2MW,New,Animals
December,MW,2MW,New,Animals
December,MW,2MW,New,Animals
December,MW,2MW,New,Activities
December,MW,2MW,New,Activities
September,MW,1MW,Returner,Animals
September,MW,1MW,Returner,Animals
September,MW,2MW,New,Places
September,MW,2MW,New,Places
September,MW,2MW,New,Places
September,MW,2MW,New,Places
September,MW,2MW,New,Places
September,MW,2MW,New,RTB
September,MW,2MW,New,People
September,MW,2MW,New,Organizations
September,MW,2MW,New,Places
September,MW,2MW,New,People
September,MW,2MW,New,People
September,MW,2MW,New,People
September,MW,2MW,New,Places
September,MW,2MW,New,Organizations
September,MW,2MW,New,Places
September,MW,3MW,Returner,Activities
September,MW,3MW,Returner,Emotions
September,MW,3MW,Returner,Physical Experience
September,MW,3MW,Returner,Animals
September,MW,3MW,Returner,
September,MW,3MW,Returner,Places
September,MW,3MW,Returner,Fun
September,MW,3MW,Returner,People
September,MW,3MW,Returner,Activities
September,MW,3MW,Returner,Activities
September,MW,3MW,Returner,Boats
September,MW,3MW,Returner,Boats
September,MW,3MW,Returner,Emotions
September,MW,3MW,Returner,Physical Experience
September,MW,4MW,New,Animals
September,MW,4MW,New,Animals
September,MW,4MW,New,Animals
September,MW,4MW,New,Animals
September,MW,4MW,New,Animals
September,MW,4MW,New,People
September,MW,4MW,New,School
September,MW,4MW,New,Emotions
September,MW,4MW,New,Places
September,MW,4MW,New,Water
September,MW,4MW,New,Pollution
September,MW,4MW,New,Animals
September,MW,5MW,New,River Characteristics
September,MW,5MW,New,Stream of consciousness
September,MW,5MW,New,Stream of consciousness
September,MW,5MW,New,Stream of consciousness
September,MW,5MW,New,Death
September,MW,5MW,New,Dangerous
September,MW,5MW,New,Want to leave
September,MW,5MW,New,How to leave
September,MW,5MW,New,How to leave
September,MW,5MW,New,Dirty
September,MW,5MW,New,Cleaning
September,MW,5MW,New,Stream of consciousness
September,MW,5MW,New,Stream of consciousness
September,MW,5MW,New,Community
September,MW,5MW,New,Friends
September,MW,5MW,New,Activities
September,MW,5MW,New,Stream of consciousness
September,MW,5MW,New,Animals
September,MW,5MW,New,Activities
September,MW,5MW,New,Stream of consciousness
September,MW,5MW,New,Stream of consciousness
September,MW,5MW,New,Food
September,MW,5MW,New,Hunger
September,MW,5MW,New,Money
September,MW,5MW,New,Money
September,MW,5MW,New,Money
September,MW,5MW,New,RTB
September,MW,5MW,New,RTB
September,MW,5MW,New,School
September,MW,5MW,New,Emotions
September,MW,5MW,New,Emotions
September,MW,5MW,New,Stream of consciousness
September,MW,5MW,New,RTB
September,MW,5MW,New,Boats
September,MW,5MW,New,Physical Experience
September,MW,5MW,New,Physical Experience
September,MW,5MW,New,Physical Experience
September,MW,5MW,New,Places
September,MW,5MW,New,Fun
September,MW,5MW,New,Music
September,MW,5MW,New,Places
September,MW,5MW,New,Places
September,MW,5MW,New,Places
September,MW,5MW,New,Places
September,MW,5MW,New,Emotions
September,MW,5MW,New,Places
September,MW,5MW,New,Places
September,MW,5MW,New,Emotions
September,MW,5MW,New,Activities
September,MW,5MW,New,Animals
September,MW,5MW,New,Fun
September,MW,5MW,New,Animals
December,MW,4MW,New,Places
December,MW,4MW,New,RTB
December,MW,4MW,New,Places
December,MW,4MW,New,Dirty
December,MW,4MW,New,Places
December,MW,4MW,New,Emotions
December,MW,4MW,New,Skills
December,MW,4MW,New,Places
December,MW,4MW,New,Places
December,MW,4MW,New,Places
December,MW,4MW,New,Places
December,MW,4MW,New,Places
December,MW,4MW,New,Places
December,MW,6MW,Returner,Places
December,MW,6MW,Returner,Culture
December,MW,6MW,Returner,Activities
December,MW,6MW,Returner,Fun
December,MW,6MW,Returner,People
December,MW,6MW,Returner,Water
December,MW,6MW,Returner,Animals
December,MW,6MW,Returner,Boats
December,MW,6MW,Returner,Animals
December,MW,6MW,Returner,RTB
December,MW,6MW,Returner,Friends
December,MW,7MW,New,Pollution
December,MW,7MW,New,Pollution
December,MW,7MW,New,Animals
December,MW,7MW,New,Animals
December,MW,1MW,Returner,Environmental Action
December,MW,1MW,Returner,Environmental Action
December,MW,1MW,Returner,Environmental Action
December,MW,1MW,Returner,Environmental Action
December,MW,1MW,Returner,Animals
December,MW,1MW,Returner,Animals
December,MW,1MW,Returner,Animals
December,MW,1MW,Returner,Animals
December,MW,1MW,Returner,Animalsing
December,MW,1MW,Returner,Animals
December,MW,1MW,Returner,Animals
December,MW,1MW,Returner,Animals
December,MW,1MW,Returner,Animals
December,MW,1MW,Returner,Food
December,MW,1MW,Returner,Activities
December,MW,1MW,Returner,Animals
December,MW,1MW,Returner,Places
December,MW,1MW,Returner,Activities
December,MW,1MW,Returner,Activities
December,MW,1MW,Returner,Animals
December,MW,1MW,Returner,Activities
December,MW,1MW,Returner,Physical Experience
December,MW,1MW,Returner,Physical Experience
December,MW,1MW,Returner,Plants
December,MW,3MW,Returner,Boats
December,MW,3MW,Returner,Activities
December,MW,3MW,Returner,Activities
December,MW,3MW,Returner,Music
December,MW,3MW,Returner,Food
December,MW,3MW,Returner,Activities
December,MW,3MW,Returner,Animals
December,MW,3MW,Returner,Plants
December,MW,3MW,Returner,Environmental Action
December,MW,3MW,Returner,Skills
December,MW,3MW,Returner,
December,MW,3MW,Returner,Friends
December,MW,3MW,Returner,Friends
December,MW,3MW,Returner,Family
December,MW,3MW,Returner,Friends
December,MW,3MW,Returner,Emotions
December,MW,3MW,Returner,Emotions
December,MW,3MW,Returner,Activities
December,MW,8MW,Returner,Boats
December,MW,8MW,Returner,Emotions
December,MW,8MW,Returner,Activities
December,MW,8MW,Returner,RTB
December,MW,8MW,Returner,River Characteristics
December,MW,8MW,Returner,Animals
December,MW,8MW,Returner,Emotions
September,TTh,9TTh,Returner,Family
September,TTh,9TTh,Returner,Environmental Action
September,TTh,9TTh,Returner,Activities
September,TTh,9TTh,Returner,Activities
September,TTh,9TTh,Returner,Boats
September,TTh,9TTh,Returner,Staff
September,TTh,9TTh,Returner,Staff
September,TTh,9TTh,Returner,Staff
September,TTh,9TTh,Returner,Staff
September,TTh,9TTh,Returner,Friends
September,TTh,9TTh,Returner,Friends
September,TTh,9TTh,Returner,Friends
September,TTh,9TTh,Returner,Friends
September,TTh,9TTh,Returner,Friends
September,TTh,9TTh,Returner,Friends
September,TTh,9TTh,Returner,Friends
September,TTh,9TTh,Returner,Friends
September,TTh,9TTh,Returner,Animals
September,TTh,9TTh,Returner,Animals
September,TTh,9TTh,Returner,Animals
September,TTh,9TTh,Returner,Animals
September,TTh,9TTh,Returner,Animals
September,TTh,9TTh,Returner,Animals
September,TTh,9TTh,Returner,Animals
September,TTh,9TTh,Returner,Animals
September,TTh,9TTh,Returner,Animals
September,TTh,9TTh,Returner,Skills
September,TTh,9TTh,Returner,Skills
September,TTh,9TTh,Returner,Skills
September,TTh,9TTh,Returner,Emotions
September,TTh,9TTh,Returner,River Characteristics
September,TTh,9TTh,Returner,River Characteristics
September,TTh,9TTh,Returner,River Characteristics
September,TTh,9TTh,Returner,River Characteristics
September,TTh,9TTh,Returner,Water quality
September,TTh,9TTh,Returner,Water quality
September,TTh,9TTh,Returner,Water quality
September,TTh,9TTh,Returner,Water quality
September,TTh,9TTh,Returner,Water quality
September,TTh,9TTh,Returner,Water quality
September,TTh,10TTh,Returner,Animals
September,TTh,10TTh,Returner,Water
September,TTh,10TTh,Returner,Pollution
September,TTh,10TTh,Returner,Plants
September,TTh,10TTh,Returner,Animals
September,TTh,10TTh,Returner,Animals
September,TTh,10TTh,Returner,Animals
September,TTh,10TTh,Returner,Animals
September,TTh,10TTh,Returner,Pollution
September,TTh,10TTh,Returner,Pollution
September,TTh,10TTh,Returner,Pollution
September,TTh,10TTh,Returner,Pollution
September,TTh,10TTh,Returner,Pollution
September,TTh,10TTh,Returner,Pollution
September,TTh,10TTh,Returner,Plants
September,TTh,10TTh,Returner,Plants
September,TTh,10TTh,Returner,River Characteristics
September,TTh,10TTh,Returner,River Characteristics
September,TTh,11Tth,New,Boats
September,TTh,11Tth,New,People
September,TTh,11Tth,New,History
September,TTh,11Tth,New,Community
September,TTh,11Tth,New,Pollution
September,TTh,11Tth,New,Plants
September,TTh,11Tth,New,Animals
September,TTh,11Tth,New,Animals
September,TTh,11Tth,New,Animals
September,TTh,11Tth,New,Outsiders
September,TTh,12TTh,New,Animals
September,TTh,12TTh,New,Water
September,TTh,12TTh,New,Plants
September,TTh,12TTh,New,River Characteristics
September,TTh,12TTh,New,People
September,TTh,12TTh,New,Places
September,TTh,12TTh,New,River Characteristics
September,TTh,12TTh,New,River Characteristics
September,TTh,12TTh,New,Animals
September,TTh,12TTh,New,Boats
September,TTh,12TTh,New,Animals
September,TTh,12TTh,New,Boats
September,TTh,12TTh,New,Plants
September,TTh,12TTh,New,Sun
September,TTh,12TTh,New,Plants
September,TTh,12TTh,New,Ghetto
September,TTh,12TTh,New,Pollution
September,TTh,13TTh,Returner,People
September,TTh,13TTh,Returner,Water
September,TTh,13TTh,Returner,Boats
September,TTh,13TTh,Returner,Pollution
September,TTh,13TTh,Returner,Animals
September,TTh,13TTh,Returner,Animals
September,TTh,13TTh,Returner,Animals
September,TTh,13TTh,Returner,Stream of consciousness
September,TTh,13TTh,Returner,River Characteristics
September,TTh,14TTh,Returner,Animals
September,TTh,14TTh,Returner,River Characteristics
September,TTh,14TTh,Returner,Water quality
September,TTh,14TTh,Returner,River Characteristics
September,TTh,14TTh,Returner,River Characteristics
September,TTh,14TTh,Returner,Animals
September,TTh,14TTh,Returner,Animals
September,TTh,14TTh,Returner,Animals
September,TTh,15TTh,Returner,Mud
September,TTh,15TTh,Returner,Animals
September,TTh,15TTh,Returner,Plants
September,TTh,15TTh,Returner,Animals
September,TTh,15TTh,Returner,Physical Experience
September,TTh,16TTh,Returner,Animals
September,TTh,16TTh,Returner,Animals
September,TTh,16TTh,Returner,Boats
September,TTh,16TTh,Returner,Plants
September,TTh,16TTh,Returner,People
September,TTh,16TTh,Returner,Boats
December,TTh,13TTh,Returner,Love
December,TTh,13TTh,Returner,Animals
December,TTh,13TTh,Returner,Family
December,TTh,14TTh,Returner,Plants
December,TTh,14TTh,Returner,Skills
December,TTh,14TTh,Returner,River Characteristics
December,TTh,14TTh,Returner,Boats
December,TTh,14TTh,Returner,River Characteristics
December,TTh,14TTh,Returner,River Characteristics
December,TTh,14TTh,Returner,Animals
December,TTh,14TTh,Returner,Plants
December,TTh,14TTh,Returner,Plants
December,TTh,16TTh,Returner,River Characteristics
December,TTh,16TTh,Returner,River Characteristics
December,TTh,16TTh,Returner,Animals
December,TTh,16TTh,Returner,Boats
December,TTh,16TTh,Returner,Animals
December,TTh,16TTh,Returner,Animals
December,TTh,16TTh,Returner,Plants
December,TTh,16TTh,Returner,Water
December,TTh,10TTh,Returner,Pollution
December,TTh,10TTh,Returner,Animals
December,TTh,10TTh,Returner,RTB
December,TTh,10TTh,Returner,Boats
December,TTh,10TTh,Returner,Water
December,TTh,10TTh,Returner,Plants
December,TTh,10TTh,Returner,Places
December,TTh,10TTh,Returner,Pollution
December,TTh,10TTh,Returner,Pollution
December,TTh,10TTh,Returner,Pollution
December,TTh,10TTh,Returner,Animals
December,TTh,10TTh,Returner,People
December,TTh,10TTh,Returner,People
December,TTh,10TTh,Returner,People
December,TTh,10TTh,Returner,RTB Group
December,TTh,10TTh,Returner,RTB Group
December,TTh,10TTh,Returner,RTB Group
December,TTh,10TTh,Returner,Activities
December,TTh,10TTh,Returner,Plants
December,TTh,10TTh,Returner,Plants
December,TTh,10TTh,Returner,Animals
December,TTh,10TTh,Returner,River Characteristics
December,TTh,10TTh,Returner,River Characteristics
December,TTh,10TTh,Returner,Animals
December,TTh,10TTh,Returner,Animals
December,TTh,10TTh,Returner,Animals
December,MW,2MW,New,Animals
December,MW,2MW,New,Trees
December,MW,2MW,New,Animals
December,MW,2MW,New,Games
December,MW,2MW,New,Christmas tree
December,MW,2MW,New,Water
December,MW,2MW,New,Animals
December,MW,2MW,New,Food
December,MW,2MW,New,Animals
December,MW,2MW,New,Plants
December,MW,2MW,New,Plants
December,MW,2MW,New,Pollution
December,MW,2MW,New,Stream of consciousness
December,MW,2MW,New,Stream of consciousness
December,MW,2MW,New,Water quality
December,MW,2MW,New,Science
December,MW,2MW,New,Places
December,MW,2MW,New,Activities
December,MW,2MW,New,Animals
December,MW,2MW,New,Animals
December,MW,2MW,New,Emotions
December,MW,2MW,New,Mines
December,MW,2MW,New,Fun
